Quality_value;Quality_description;Wine_Parameter_name;Min Value;Average Value;Maximum Value
3;Bad Quality;fixed.acidity;0,295774648;0,535211268;0,830985915
4;Bad Quality;fixed.acidity;0,338028169;0,502073792;0,718309859
5;Average Quality;fixed.acidity;0,316901408;0,488308022;0,725352113
6;Average Quality;fixed.acidity;0,267605634;0,481526099;1
7;Average Quality;fixed.acidity;0,295774648;0,474275768;0,647887324
8;Excellent quality;fixed.acidity;0,274647887;0,468812877;0,577464789
9;Excellent quality;fixed.acidity;0,464788732;0,522535211;0,64084507
3;Bad Quality;volatile.acidity;0,154545455;0,302954545;0,581818182
4;Bad Quality;volatile.acidity;0,1;0,346569994;1
5;Average Quality;volatile.acidity;0,090909091;0,274555438;0,822727273
6;Average Quality;volatile.acidity;0,072727273;0,236876499;0,877272727
7;Average Quality;volatile.acidity;0,072727273;0,238879132;0,690909091
8;Excellent quality;volatile.acidity;0,109090909;0,252181818;0,6
9;Excellent quality;volatile.acidity;0,218181818;0,270909091;0,327272727
3;Bad Quality;citric.acid;0,126506024;0,202409639;0,28313253
4;Bad Quality;citric.acid;0;0,183272969;0,530120482
5;Average Quality;citric.acid;0;0,203405248;0,602409639
6;Average Quality;citric.acid;0;0,203629806;1
7;Average Quality;citric.acid;0,006024096;0,196159639;0,445783133
8;Excellent quality;citric.acid;0,024096386;0,196695353;0,445783133
9;Excellent quality;citric.acid;0,174698795;0,23253012;0,295180723
3;Bad Quality;residual.sugar;0,010638298;0,097150456;0,246200608
4;Bad Quality;residual.sugar;0,010638298;0,070337703;0,266717325
5;Average Quality;residual.sugar;0,009118541;0,111473695;0,357142857
6;Average Quality;residual.sugar;0,010638298;0,097896748;1
7;Average Quality;residual.sugar;0,013677812;0,078821843;0,292553191
8;Excellent quality;residual.sugar;0,012158055;0,086191924;0,224924012
9;Excellent quality;residual.sugar;0,024316109;0,062613982;0,161094225
3;Bad Quality;chlorides;0,063583815;0,156936416;0,705202312
4;Bad Quality;chlorides;0,037572254;0,144792369;0,838150289
5;Average Quality;chlorides;0,026011561;0,148977827;1
6;Average Quality;chlorides;0,043352601;0,130686331;0,73699422
7;Average Quality;chlorides;0,034682081;0,11037835;0,39017341
8;Excellent quality;chlorides;0,040462428;0,11073493;0,349710983
9;Excellent quality;chlorides;0,052023121;0,079190751;0,101156069
3;Bad Quality;free.sulfur.dioxide_norm;0,017301038;0,184515571;1
4;Bad Quality;free.sulfur.dioxide_norm;0,010380623;0,080826629;0,479238754
5;Average Quality;free.sulfur.dioxide_norm;0,006920415;0,126062464;0,453287197
6;Average Quality;free.sulfur.dioxide_norm;0,010380623;0,123358448;0,387543253
7;Average Quality;free.sulfur.dioxide_norm;0,017301038;0,118081551;0,373702422
8;Excellent quality;free.sulfur.dioxide_norm;0,020761246;0,127058824;0,363321799
9;Excellent quality;free.sulfur.dioxide_norm;0,083044983;0,115570934;0,197231834
3;Bad Quality;total.sulfur.dioxide_norm;0,043181818;0,387727273;1
4;Bad Quality;total.sulfur.dioxide_norm;0,022727273;0,284725321;0,618181818
5;Average Quality;total.sulfur.dioxide_norm;0,020454545;0,342964997;0,781818182
6;Average Quality;total.sulfur.dioxide_norm;0,040909091;0,311471172;0,668181818
7;Average Quality;total.sulfur.dioxide_norm;0,077272727;0,284351756;0,520454545
8;Excellent quality;total.sulfur.dioxide_norm;0,134090909;0,28674026;0,482954545
9;Excellent quality;total.sulfur.dioxide_norm;0,193181818;0,263636364;0,315909091
3;Bad Quality;density_norm;0,953916341;0,957558375;0,962578683
4;Bad Quality;density_norm;0,952087624;0,956973847;0,962867428
5;Average Quality;density_norm;0,950181909;0,957922742;0,964802017
6;Average Quality;density_norm;0,950528403;0,956670339;1
7;Average Quality;density_norm;0,950076036;0,955218;0,962867428
8;Excellent quality;density_norm;0,950095286;0,955009666;0,963059924
9;Excellent quality;density_norm;0,952520741;0,954262835;0,959594987
3;Bad Quality;pH_norm;0,751308901;0,834424084;0,929319372
4;Bad Quality;pH_norm;0,740837696;0,833215559;0,97382199
5;Average Quality;pH_norm;0,730366492;0,829537492;0,992146597
6;Average Quality;pH_norm;0,712041885;0,834711708;0,997382199
7;Average Quality;pH_norm;0,743455497;0,841334484;1
8;Excellent quality;pH_norm;0,769633508;0,842587883;0,939790576
9;Excellent quality;pH_norm;0,837696335;0,865968586;0,892670157
3;Bad Quality;sulphates_norm;0,259259259;0,439351852;0,685185185
4;Bad Quality;sulphates_norm;0,231481481;0,440865712;0,805555556
5;Average Quality;sulphates_norm;0,25;0,446484405;0,814814815
6;Average Quality;sulphates_norm;0,212962963;0,454727362;0,981481481
7;Average Quality;sulphates_norm;0,203703704;0,465835438;1
8;Excellent quality;sulphates_norm;0,231481481;0,45021164;0,87962963
9;Excellent quality;sulphates_norm;0,333333333;0,431481481;0,564814815
3;Bad Quality;alcohol_norm;0,563380282;0,728521127;0,887323944
4;Bad Quality;alcohol_norm;0,591549296;0,714961548;0,950704225
5;Average Quality;alcohol_norm;0,563380282;0,690763386;0,957746479
6;Average Quality;alcohol_norm;0,598591549;0,744744475;0,985915493
7;Average Quality;alcohol_norm;0,605633803;0,800558845;1
8;Excellent quality;alcohol_norm;0,598591549;0,81943662;0,985915493
9;Excellent quality;alcohol_norm;0,732394366;0,857746479;0,908450704